# solution of differential equation (fixed)
x,y
0,0.241688
0.0833333,0.250062
0.166667,0.256715
0.25,0.261678
0.333333,0.264974
0.416667,0.266618
0.5,0.266618
0.583333,0.264974
0.666667,0.261678
0.75,0.256715
0.833333,0.250062
1,0.241688

# residuals of differential equation (fixed)
x,y
0.0833333,-4.17233e-06
0.166667,-5.00679e-06
0.25,-8.34465e-07
0.333333,-8.34465e-06
0.416667,-7.15256e-07
0.5,-7.15256e-07
0.583333,-8.34465e-06
0.666667,-8.34465e-07
0.75,-5.00679e-06
0.833333,-4.17233e-06

# solution of differential equation
x,y
0,0.247821
0.0833333,0.255418
0.166667,0.261208
0.25,0.265273
0.333333,0.267664
0.416667,0.268398
0.5,0.267465
0.583333,0.264819
0.666667,0.260381
0.75,0.254028
0.916667,0.245593
1,0.234222

# residuals of differential equation
x,y
0.0833333,4.29153e-06
0.166667,-1.78814e-05
0.25,1.56164e-05
0.333333,-5.72205e-06
0.416667,1.06096e-05
0.5,3.09944e-06
0.583333,6.55651e-07
0.666667,3.57628e-07
0.75,5.72205e-06
0.916667,2.98023e-06
